name,nameScientific,nameCN,namePinyin,property,meridianTropism,flavour,toxicology,storage,characteristics,placeOfOrigin,medicinePart,method,effect,usage,dosage,prohibition,imageLink
Wolfberry / Gojiberry,Lycium barbarum,枸杞子,Gou Qi Zi,平 Neutral,"肝经 Liver,肾经 Kidney",甘 Sweet,"The median lethal dose of fruit water - soluble extract in mice is 83.2g/kg; the median lethal dose of betaine hydrochloride in mice is 18.7g/kg. The median lethal dose of the water -soluble extract of Lycium barbarum is 83.2g/kg; the median lethal dose of betaine hydrochloride is 18g/kg . Betaine enters the body and is excreted in its original form. Rats were injected with 2.4g/kg intravenously , and no toxic reaction was seen . Mice were injected with 25g/kg intraperitoneally, and within 10 minutes there was general convulsion and respiratory arrest .","Store in a cool, well-ventilated and dry place","Trailing shrubs, up to 1m high. The branches are slender, the young branches are angular, the outer skin is gray, glabrous, usually with short spines, born in the leaf axils , about 5 cm long. Leaves alternate or in several clusters; leaf blade ovate rhomboid to ovate- lanceolate , 2-6 cm long, 0.6-2.5 cm wide, apex pointed or obtuse, base narrowly cuneate, margin entire, both sides glabrous. Flowers axillary, usually solitary or clustered with several flowers: calyx campanulate, 3-4mm long, 3-5-lobed at the apex; corolla funnel-shaped, obviously narrow at the lower part of the tube, and then gradually expand upward, about 5mm long, with 5-lobed apex Cleft, lobes long ovate, almost as long as the tube, purple, margin sparsely ciliated, a round of pilose slightly above where the stamens insert in the tube; stamens 5, inserting in the corolla, anthersT-shaped growth, 2 rooms, filaments usually protruding; pistil 1, ovary oblong, style thin, stigma capitate. Berries ovate or oblong, 0.5-2 cm long, 4-8 mm in diameter, dark red or orange . Many seeds, kidney-shaped and flat, brownish yellow. The flowering period is from June to September. The fruiting period is July-October. It grows on hillsides, ridges, or hilly areas.","Distributed in North China , Northwest and other places. It is also cultivated in other areas.","wolfberry fruit, wolfberry leaves and root bark","1. This product is the mature fruit of Lycium barbarum or Qinghai Lycium barbarum of Solanaceae. Harvest the fruit when it is ripe in summer and autumn, remove the stalk, put it in a cool place to dry until the skin becomes wrinkled, and then expose to the sun until the skin is dry and hard, and the flesh is soft. In case of rainy weather, it can be dried with low heat.","Control liver and kidney yin deficiency, soreness of the waist and knees , dizziness , dizziness, blurred vision and tears, consumptive cough, thirst , nocturnal emission .","Nourishes the kidneys , nourishes the lungs, nourishes the liver , and improves eyesight. Control liver and kidney yin deficiency, soreness of the waist and knees , dizziness , dizziness, blurred vision and tears, consumptive cough, thirst, nocturnal emission .","Oral administration: decoction , 2-4 Qian; decoct ointment, steep in wine or into pills or powder.","Contraindicated for those with exogenous pathogenic excess heat , spleen deficiency with dampness and diarrhea.",https://firebasestorage.googleapis.com/v0/b/pinellia-66b18.appspot.com/o/herb%2Fgouqi.jpg?alt=media&token=9a5b7c2c-3aad-42ef-be05-675f02d43a20
,,谷精草,Gu Jing Cao,平 Neutral,"肝经 Liver,肺经 Lung","辛 Pungent,甘 Sweet",,,,,,,,,,,
,,骨碎补,Gu Sui Bu,温 Warm,"肝经 Liver,肾经 Kidney",苦 Bitter,,,,,,,,,,,
,,瓜蒌,Gua Lou,寒 Cold,"肺经 Lung,胃经 Stomach,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,广藿香,Guang Huo Xiang,温 Warm,"脾经 Spleen,胃经 Stomach,肺经 Lung",辛 Pungent,,,,,,,,,,,
,,广金钱草,Guang Jin Qian Cao,凉 Cool,"肝经 Liver,肾经 Kidney,膀胱经 Bladder",甘 Sweet,,,,,,,,,,,
,,桂枝,Gui Zhi,温 Warm,"心经 Heart,肺经 Lung,膀胱经 Bladder","辛 Pungent,甘 Sweet",,,,,,,,,,,
,,海风藤,Hai Feng Teng,温 Warm,肝经 Liver,"辛 Pungent,苦 Bitter",,,,,,,,,,,
,,海金沙,Hai Jin Sha,寒 Cold,"膀胱经 Bladder,小肠经 Small Intestine,其他 Others","甘 Sweet,咸 Salty",,,,,,,,,,,
,,海藻（羊栖菜）,Hai Zao （Yang Qi Cai ）,寒 Cold,"肝经 Liver,胃经 Stomach,肾经 Kidney","苦 Bitter,咸 Salty",,,,,,,,,,,
,,诃子,He Zi,平 Neutral,"肺经 Lung,大肠经 Large Intestine","苦 Bitter,酸 Sour,涩 Astringent",,,,,,,,,,,
,,合欢花,He Huan Hua,平 Neutral,"心经 Heart,肝经 Liver",甘 Sweet,,,,,,,,,,,
,,合欢皮,He Huan Pi,平 Neutral,"心经 Heart,肝经 Liver,肺经 Lung",甘 Sweet,,,,,,,,,,,
Tuber Fleeceflower,Fallopia multiflora,何首乌,He Shou Wu,温 Warm,"肝经 Liver,心经 Heart,肾经 Kidney","苦 Bitter,甘 Sweet,涩 Astringent","Polygonum multiflorum contains anthraquinone derivatives that cause laxative effects, so people with loose stools should not take it. Raw Shouwu is more toxic than prepared Shouwu. For example, the LD50 of raw Shouwu alcohol percolation solution is 50g/kg for intraperitoneal injection of mice, and the LD50 of intraperitoneal injection is 2.7g/kg. The alcohol cold extract of Shouwu for intraperitoneal injection The toxicity of Radix Polygoni Multiflori is more than 54.5 times smaller than that of Radix Polygonum alcohol infusion, and the toxicity of Radix Polygonum multiflorum percolation solution to mice is less than 20 times than that of Radix Polygoni Multiflori Alcohol Percolation Solution. ","Store in a cool, well-ventilated and dry place","Root tubers are spindle-shaped or massive, generally slightly curved, 5-15cm long and 4-10cm in diameter. The surface is reddish brown or reddish brown, uneven, with irregular longitudinal grooves and dense wrinkles, and horizontally long lenticels and fine root scars. Hard quality, not easy to break. The cut surface is light yellowish brown or light reddish brown, powdery, and there are round-shaped irregular vascular bundles arranged in a ring in the cortex, forming a ""cloud brocade pattern"". Slight gas, slightly bitter and sweet taste.","Distributed in East China, Central South and Hebei, Shanxi, Shaanxi, Gansu, Taiwan, Sichuan, Guizhou, Yunnan and other places.","Dry root tuber of Polygonum multiflorum, and its lignified dry stem is Shouwu vine","1. He Shou Wu
Take the raw medicinal materials, remove impurities, separate them by size, wash them, soak them slightly, moisten them thoroughly, cut them into thick slices or small pieces, and dry them.

2. Prepare Polygonum multiflorum
(1) Black bean system: Take the cleaned fleece-flower root slices or pieces, mix well with black bean juice. Put it in a suitable non-iron container, airtight, heat it with water or steam, and stew until the juice is exhausted; or mix it with black soybean juice, after it is stuffy, put it in a steamer or a wooden retort, and steam it until brown. Remove to dry. For every 100kg of Polygonum multiflorum slices or pieces, 10kg of black beans are used. Black bean juice preparation method: Take 10kg of black beans, add appropriate amount of water, cook for 4 hours, and boil about 15kg of juice; add bean dregs and boil for 3 hours, boil about 10kg of juice, and combine to get about 25kg of soybean juice. Black beans can nourish liver and kidney after mixing, benefit essence and blood, black beard and hair, and strengthen bones and muscles.

(2) Wine system: Take Polygonum multiflorum slices or pieces, mix well with yellow rice wine, moisten for 4-6 hours, steam in a steamer for 6 hours, take it out and let it dry for a while, then add the juice in the pot, wait for the juice to be exhausted, pick it up and steam it again, Steam black to degree, take out and dry or dry. For every Polygonum multiflorum 100kg, use rice wine 12kg.

(3) Black bean yellow wine production: Take Polygonum multiflorum cubes and pour them into a basin, mix well with black bean juice and rice wine, put them in a tank or a suitable container, seal them tightly, and stew them in a water pot until the juice is exhausted, take them out, and dry them in the sun. For every 100kg of Polygonum multiflorum, 10kg of black beans and 25kg of rice wine are used. Or take Polygonum multiflorum slices or pieces, mix well with black bean juice and rice wine, heat in water, steam for 8 hours, stuffy for 8 hours, take out, and dry in the sun. For every 100kg of Polygonum multiflorum slices, 10kg of black beans and 20kg of yellow rice wine are used.

3. Steamed Polygonum multiflorum
Remove the impurities from the dried Polygonum multiflorum, divide it into grades, soak it, wash it, pick it up, split the large ones, pour water in the middle, moisten them thoroughly, steam them in a steamer for 8 hours, keep them stuffy overnight, turn them up and down once in the next morning, and steam them again. Repeated steaming in this way until both inside and outside are moist, take it out, sun-dry until half-dried, cut into thick slices, mix in the original juice obtained during steaming, make it fully absorbed, dry, and sift out the dust. Steaming Polygonum multiflorum can strengthen the beard and hair, nourish yin and strengthen the body.","Production use: tonifying essence and blood; raw use: detoxification, cutting off malaria, moistening intestines and laxative.","1. Deficiency of essence and blood, dizziness, premature graying of beard and hair, soreness of waist and knees: making Radix Polygoni Multiflori is good for nourishing liver and kidney, nourishing essence and blood, and blackening beard and hair.
2. Chronic malaria, carbuncle, scrofula, intestinal dryness and constipation: Raw Shouwu has the effects of cutting off malaria, detoxification, and laxative.","Oral administration: decocting, 10-20g; decocting ointment, steeping in wine or making into pills or powder. External application: Appropriate amount, decocted for washing, powdered and sprinkled or mixed for coating.

To nourish blood and nourish yin, it is suitable to use Radix Polygoni Multiflori; to moisten intestines and laxative, dispel wind, cut off malaria, and detoxify, it is appropriate to use Raw Polygonum Polygoni Multiflori.",Use with caution in those with loose stools and wet phlegm. Avoid ironware.,https://firebasestorage.googleapis.com/v0/b/pinellia-66b18.appspot.com/o/herb%2Fjinyinhua.jpg?alt=media&token=56f84ace-47f1-4038-8098-8c57a6bc2279
,,荷叶,He Ye,平 Neutral,"肝经 Liver,脾经 Spleen,胃经 Stomach",苦 Bitter,,,,,,,,,,,
,,黑豆,Hei Dou,平 Neutral,"脾经 Spleen,肾经 Kidney",甘 Sweet,,,,,,,,,,,
,,黑芝麻,Hei Zhi Ma,平 Neutral,"肝经 Liver,肾经 Kidney,大肠经 Large Intestine",甘 Sweet,,,,,,,,,,,
,,黑种草子,Hei Zhong Cao Zi,温 Warm,,"甘 Sweet,辛 Pungent",,,,,,,,,,,
,,红参,Hong Shen,温 Warm,"脾经 Spleen,肺经 Lung,心经 Heart,肾经 Kidney","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,红花,Hong Hua,温 Warm,"心经 Heart,肝经 Liver",辛 Pungent,,,,,,,,,,,
,,红景天,Hong Jing Tian,平 Neutral,"肺经 Lung,心经 Heart","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,厚朴,Hou Pu,温 Warm,"脾经 Spleen,胃经 Stomach,肺经 Lung,大肠经 Large Intestine","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,胡黄连,Hu Huang Lian,寒 Cold,"肝经 Liver,胃经 Stomach,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,胡椒,Hu Jiao,热 Hot,"胃经 Stomach,大肠经 Large Intestine",辛 Pungent,,,,,,,,,,,
,,胡芦巴,Hu Lu Ba,温 Warm,肾经 Kidney,苦 Bitter,,,,,,,,,,,
,,槲寄生,Hu Ji Sheng,平 Neutral,"肝经 Liver,肾经 Kidney",苦 Bitter,,,,,,,,,,,
,,虎杖,Hu Zhang,寒 Cold,"肝经 Liver,胆经 Gallbladder,肺经 Lung",苦 Bitter,,,,,,,,,,,
,,花椒,Hua Jiao,温 Warm,"脾经 Spleen,胃经 Stomach,肾经 Kidney",辛 Pungent,,,,,,,,,,,
,,化橘红,Hua Ju Hong,温 Warm,"肺经 Lung,脾经 Spleen","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,槐花,Huai Hua,寒 Cold,"肝经 Liver,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,槐角,Huai Jiao,寒 Cold,"肝经 Liver,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
Cork-Tree Bark,Cortex Phellodendri,黄柏,Huang Bai,寒 Cold,"肾经 Kidney,膀胱经 Bladder",苦 Bitter,,"Store in a ventilated and dry place, away from moisture","This product is plate-shaped or shallow groove-shaped, with different lengths and widths, and a thickness of 1-6mm. The outer surface is yellowish brown or yellowish brown, flat or with longitudinal grooves, and some visible lenticels and residual taupe rough skin; the inner surface is dark yellow or light brown, with fine longitudinal ribs. Light in body, hard in quality, fibrous in cross-section, layered in lobes, dark yellow. Slight gas, extremely bitter taste, sticky when chewed.","Mainly produced in Sichuan, Guizhou, Hubei, Yunnan and other places.",The dry bark of the plant.,"1. Remove impurities from Cortex Phellodendri, spray with water, moisten thoroughly, shred and dry.

2. Salt Cortex Phellodendri Cortex Phellodendri, fry it dry according to the method of roasting in salt water.

3. Phellodendron charcoal: Take Phellodendron shreds and stir-fry according to the charcoal-frying method until the surface is burnt black.","It has the effects of clearing away heat and dampness, purging fire and removing steam, detoxifying and treating sores.","It is used for damp-heat diarrhea, jaundice and red urine, vaginal itching, hot stranguria and astringent pain, beriberi and flaccidity, bone steaming and labor-heat, night sweats, spermatorrhea, sores and swollen toxins, and eczema. Salt Phellodendron nourishes yin and reduces fire. For hyperactivity of fire due to yin deficiency, night sweat and bone steam.",3-12g. Appropriate amount for external use.,"This product is bitter cold and hurts the stomach, and it is contraindicated for those with spleen and stomach deficiency.",https://firebasestorage.googleapis.com/v0/b/pinellia-66b18.appspot.com/o/herb%2Fhuangbai.jpg?alt=media&token=b95f17bb-4b27-45fe-bb27-30e6f016c276
,,黄精,Huang Jing,平 Neutral,"脾经 Spleen,肺经 Lung,肾经 Kidney",甘 Sweet,,,,,,,,,,,
,,黄连,Huang Lian,寒 Cold,"心经 Heart,脾经 Spleen,胃经 Stomach,肝经 Liver,胆经 Gallbladder,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
Astragalus,Astragalus membranaceus,黄芪,Huang Qi,温 Warm,"肺经 Lung,脾经 Spleen",甘 Sweet,,"Store in a cool, well-ventilated and dry place","This product is cylindrical, some have branches, the upper end is thicker, 30-90cm long, 1-3.5cm in diameter. The surface is light brown or light brown, with irregular longitudinal wrinkles or grooves. Hard and tough, not easy to break, strong fibrous cross-section, and powdery, yellow-white bark, light yellow xylem, radial texture and fissures, old root center occasionally decayed, dark brown or hollow. Slight gas, slightly sweet taste, slightly beany smell when chewed.","1. Mongolian Astragalus: distributed in Hebei, Shanxi, Inner Mongolia, Liaoning, Jilin, Heilongjiang, Tibet, Xinjiang and other places. It is cultivated in Northeast, Hebei, Shanxi, Inner Mongolia and other places.

2. Astragalus membranaceus: distributed in Beijing, Tianjin, Hebei, Shanxi, Inner Mongolia, Liaoning, Jilin, Heilongjiang, Shandong, Sichuan, Tibet, Shaanxi, Gansu, Qinghai, Ningxia and other places. It is cultivated in Northeast China, Inner Mongolia, Hebei, Shanxi and other places. ",Roots,"Broiled products: fried astragalus is astragalus slices fried with bran until dark yellow, sieve out and let the medicine cool. Strengthen the spleen and stomach.

Sun-roasted Astragalus is also known as honey-roasted Astragalus, honey Astragalus. Mix the astragalus slices with honey, stir-fry until they are not sticky, take them out and let them dry, and then use them as medicine. The effect of invigorating qi and moisturizing the lungs is enhanced.","Invigorating the spleen and invigorating the middle, raising the yang and lifting the sink, benefiting the body and strengthening the exterior, diuresis, supporting toxin and promoting granulation.","1. Astragalus with ginseng: Astragalus is good at invigorating qi and raising yang, benefiting health and strengthening the appearance, and tends to warm and strengthen; ginseng is good at nourishing vitality, promoting body fluid and quenching thirst, and tends to nourish and strengthen. The compatibility of the two medicines must be used together, and it is an important combination of sweetness, warmth and qi. It is suitable for symptoms of physical weakness such as mental fatigue, lack of food, and spontaneous sweating caused by qi deficiency.

2. Astragalus with aconite: Astragalus is good at invigorating qi and raising yang, benefiting health and solidifying the exterior; aconite is good at restoring yang and rescuing adversity, warming kidney and helping yang. The compatibility of the two medicines can enhance the effect of warming the interior, helping the Yang, strengthening the exterior and antiperspirant. It is suitable for those with qi deficiency and yang deficiency. Symptoms include sweating, aversion to wind, dysuria, heaviness and numbness of limbs, etc.

3. Astragalus with Atractylodes Rhizoma: Astragalus membranaceus is good at nourishing qi and invigorating deficiency; Atractylodes rhizome is good at invigorating spleen and replenishing qi. The compatibility of the two medicines can enhance the effect of invigorating qi and invigorating the spleen. It is suitable for fatigue, fatigue, shortness of breath and lazy speech caused by Qi deficiency and spleen weakness.

4. Astragalus with angelica: Astragalus nourishes the Qi of the spleen and lungs to nourish the source of blood; Angelica nourishes the blood of the heart and liver to nourish the blood and nourish the body.
The compatibility of the two medicines can enhance the effect of nourishing qi and promoting blood. It is suitable for fatigue and internal injuries, hot muscles and flushed face, polydipsia, weak pulse and sores, fever due to blood deficiency, and insufficiency of various qi and blood.","It can be stewed with soup and meat, tea and porridge, steamed rice and vegetables, decoction and wine, etc. Generally, 15-30 grams a day.

Astragalus tea: about 5-10 grams of raw astragalus, washed with water, boiled or soaked in boiling water for 10-20 minutes before drinking, can be brewed repeatedly. You can also add 15 grams of wolfberry and take it after decoction, which is more effective for people with weak qi and blood.

Astragalus porridge: about 50 grams of astragalus, appropriate amount of japonica rice, rice or glutinous rice. Astragalus is soaked in cold water for half an hour and then decocted. Cook porridge with the decocted juice to become astragalus porridge. This method can also be used to make astragalus rice. You can also use 15 grams of Astragalus membranaceus and 10 grams of Codonopsis pilosula to decoct in water to get the juice, then add 30 grams of jujube and 100 grams of japonica rice, and cook porridge together.","It is best not to use more than 15 grams of astragalus in astragalus soaked water each time, and take it in two or three times to avoid overdose.

After taking astragalus, it can improve memory loss, dizziness and fatigue, etc., but if you take too much astragalus water, it will not only fail to improve the dizziness, but will lead to the value of the disease, that is, more serious dizziness and poor memory. It didn't recover well either.",https://firebasestorage.googleapis.com/v0/b/pinellia-66b18.appspot.com/o/herb%2Fhuangqi.jpg?alt=media&token=bfa5e850-1f5f-4f0d-8854-b721b980aa43
,,黄芩,Huang Qin,寒 Cold,"肺经 Lung,胆经 Gallbladder,脾经 Spleen,大肠经 Large Intestine,小肠经 Small Intestine,其他 Others",苦 Bitter,,,,,,,,,,,
,,黄山药,Huang Shan Yao,平 Neutral,"胃经 Stomach,心经 Heart","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,黄蜀葵花,Huang Shu Kui Hua,寒 Cold,"肾经 Kidney,膀胱经 Bladder",甘 Sweet,,,,,,,,,,,
,,火麻仁,Huo Ma Ren,平 Neutral,"脾经 Spleen,胃经 Stomach,大肠经 Large Intestine",甘 Sweet,,,,,,,,,,,
,,鸡骨草,Ji Gu Cao,凉 Cool,"肝经 Liver,胃经 Stomach","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,鸡冠花,Ji Guan Hua,凉 Cool,"肝经 Liver,大肠经 Large Intestine","甘 Sweet,涩 Astringent",,,,,,,,,,,
,,鸡血藤,Ji Xue Teng,温 Warm,"肝经 Liver,肾经 Kidney","苦 Bitter,甘 Sweet",,,,,,,,,,,
,,积雪草,Ji Xue Cao,寒 Cold,"肝经 Liver,脾经 Spleen,肾经 Kidney","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,急性子,Ji Xing Zi,温 Warm,"肺经 Lung,肝经 Liver","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,蒺藜,Ji Li,温 Warm,肝经 Liver,"辛 Pungent,苦 Bitter",,,,,,,,,,,
,,姜黄,Jiang Huang,温 Warm,"脾经 Spleen,肝经 Liver","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,降香,Jiang Xiang,温 Warm,"肝经 Liver,脾经 Spleen",辛 Pungent,,,,,,,,,,,
,,焦栀子,Jiao Zhi Zi,寒 Cold,"心经 Heart,肺经 Lung,三焦经,其他 Others",苦 Bitter,,,,,,,,,,,
,,芥子,Jie Zi,温 Warm,肺经 Lung,辛 Pungent,,,,,,,,,,,
,,金沸草,Jin Fei Cao,温 Warm,"肺经 Lung,大肠经 Large Intestine","苦 Bitter,辛 Pungent,咸 Salty",,,,,,,,,,,
,,金果榄,Jin Guo Lan,寒 Cold,"肺经 Lung,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,金钱草,Jin Qian Cao,寒 Cold,"肝经 Liver,胆经 Gallbladder,肾经 Kidney,膀胱经 Bladder","甘 Sweet,咸 Salty",,,,,,,,,,,
,,金铁锁,Jin Tie Suo,温 Warm,肝经 Liver,"苦 Bitter,辛 Pungent",,,,,,,,,,,
Japanese Honeysuckle,Lonicera japonica,金银花,Jin Yin Hua,寒 Cold,"肺经 Lung,心经 Heart,胃经 Stomach",甘 Sweet,,"Store in a dry container, in a cool dry place, away from moisture and moth. Gold and silver charcoal dissipates heat and prevents reburning.","Honeysuckle, the flower buds are in the shape of a thin mallet, thick at the top and thin at the bottom, slightly curved, 2-3cm long, about 3mm in diameter at the upper part, and about 1.5mm in diameter at the lower part. The surface is yellow-white or green-white (the color gradually becomes darker after long-term storage), densely covered with short hairs. Occasional leafy bracts . Calyx green, apex 5-lobed, lobes hairy, about 2mm long. The open corolla is tube-shaped, with two lips at the apex, 5 stamens , attached to the tube wall, yellow; 1 pistil , ovary glabrous. The gas is delicate and fragrant, the taste is light and slightly bitter.","Mostly distributed in East China, Central South, Southwest and Hebei, Shanxi , Liaoning , Shaanxi, Gansu and other places",Dried buds or with first flowers of Lonicera japonica Thunb.,"1. For honeysuckle, take the original medicinal materials, remove the remaining stalks and impurities, and sieve to remove dust. The raw product is used for clearing heat and detoxifying, dispelling wind and relieving exterior syndrome.

2. Fry honeysuckle, take clean honeysuckle, put it in a hot pot, stir-fry over low heat until it turns yellow, take it out and spread it out to cool. Stir-fried honeysuckle is used for clearing away heat and relieving the exterior , harmonizing the stomach and relieving vomiting.

3. Honeysuckle charcoal, take the cleaned honeysuckle, put it in a pot, fry it over medium heat until the surface is burnt brown, spray a little water, extinguish the sparks, fry it dry , take it out and let it air out. Honeysuckle charcoal is used to clear away heat and detoxify, cool blood and stop dysentery.","Heat-clearing and toxic substances removing, anti-inflammation and detumescence.","Indications for exogenous wind-heat or fever due to febrile disease, heatstroke , heat -toxin bloody dysentery, carbuncle and furuncle, sore throat , and various infectious diseases.","Oral administration: decoction , 10-20g; or into pills or powders;

External application: appropriate amount, smashed for applying.",Use with caution in patients with spleen and stomach deficiency and yin ulcers .,https://firebasestorage.googleapis.com/v0/b/pinellia-66b18.appspot.com/o/herb%2Fjinyinhua.jpg?alt=media&token=eb0a6062-0aa0-4c5c-b2b3-f5c5fcd9b5f3
,,金樱子,Jin Ying Zi,平 Neutral,"肾经 Kidney,膀胱经 Bladder,大肠经 Large Intestine","酸 Sour,甘 Sweet,涩 Astringent",,,,,,,,,,,
,,筋骨草,Jin Gu Cao,寒 Cold,肺经 Lung,苦 Bitter,,,,,,,,,,,
,,荆芥,Jing Jie,温 Warm,"肺经 Lung,肝经 Liver","辛 Pungent,涩 Astringent",,,,,,,,,,,
,,九里香,Jiu Li Xiang,温 Warm,,"辛 Pungent,苦 Bitter",,,,,,,,,,,
,,韭菜子,Jiu Cai Zi,温 Warm,"肝经 Liver,肾经 Kidney","辛 Pungent,甘 Sweet",,,,,,,,,,,
,,救必应,Jiu Bi Ying,寒 Cold,"肺经 Lung,胃经 Stomach,大肠经 Large Intestine,肝经 Liver",苦 Bitter,,,,,,,,,,,
,,桔梗,Jie Geng,平 Neutral,肺经 Lung,平 Neutral,,,,,,,,,,,
,,菊花,Ju Hua,寒 Cold,"肺经 Lung,肝经 Liver","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,菊苣,Ju Ju,凉 Cool,"肝经 Liver,胆经 Gallbladder,胃经 Stomach","苦 Bitter,咸 Salty",,,,,,,,,,,
,,橘核,Ju He,平 Neutral,"肝经 Liver,肾经 Kidney",苦 Bitter,,,,,,,,,,,
,,卷柏,Juan Bai,平 Neutral,"肝经 Liver,心经 Heart",辛 Pungent,,,,,,,,,,,
,,决明子,Jue Ming Zi,寒 Cold,"肝经 Liver,大肠经 Large Intestine","甘 Sweet,苦 Bitter,咸 Salty",,,,,,,,,,,
,,榼藤子,Ke Teng Zi,凉 Cool,"肝经 Liver,脾经 Spleen,胃经 Stomach,肾经 Kidney",苦 Bitter,,,,,,,,,,,
,,苦参,Ku Shen,寒 Cold,"心经 Heart,肝经 Liver,胃经 Stomach,大肠经 Large Intestine,膀胱经 Bladder",苦 Bitter,,,,,,,,,,,
,,苦地丁,Ku Di Ding,寒 Cold,"心经 Heart,肝经 Liver,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,苦楝皮,Ku Lian Pi,寒 Cold,"肝经 Liver,脾经 Spleen,胃经 Stomach",苦 Bitter,,,,,,,,,,,
,,苦木,Ku Mu,寒 Cold,"肺经 Lung,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,苦杏仁,Ku Xing Ren,温 Warm,"肺经 Lung,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,苦玄参,Ku Xuan Shen,寒 Cold,"肺经 Lung,胃经 Stomach,肝经 Liver",苦 Bitter,,,,,,,,,,,
,,款冬花,Kuan Dong Hua,温 Warm,肺经 Lung,"辛 Pungent,苦 Bitter",,,,,,,,,,,
,,昆布,Kun Bu,寒 Cold,"肝经 Liver,胃经 Stomach,肾经 Kidney",咸 Salty,,,,,,,,,,,
,,辣椒,La Jiao,热 Hot,"心经 Heart,脾经 Spleen",辛 Pungent,,,,,,,,,,,
,,莱菔子,Lai Fu Zi,寒 Cold,"肝经 Liver,肺经 Lung,胃经 Stomach","苦 Bitter,甘 Sweet",,,,,,,,,,,
,,狼毒,Lang Du,平 Neutral,"肝经 Liver,脾经 Spleen",辛 Pungent,,,,,,,,,,,
,,老鹳草,Lao Guan Cao,平 Neutral,"肝经 Liver,肾经 Kidney,脾经 Spleen","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,雷公藤,Lei Gong Teng,凉 Cool,"肝经 Liver,肾经 Kidney","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,连钱草,Lian Qian Cao,寒 Cold,"肝经 Liver,肾经 Kidney,膀胱经 Bladder","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,连翘,Lian Qiao,寒 Cold,"肺经 Lung,心经 Heart,小肠经 Small Intestine,其他 Others",苦 Bitter,,,,,,,,,,,
,,莲子,Lian Zi,平 Neutral,"脾经 Spleen,肾经 Kidney,心经 Heart","甘 Sweet,涩 Astringent",,,,,,,,,,,
,,莲子心,Lian Zi Xin,寒 Cold,"心经 Heart,肾经 Kidney",苦 Bitter,,,,,,,,,,,
,,两面针,Liang Mian Zhen,平 Neutral,"肝经 Liver,胃经 Stomach","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,蓼大青叶,Liao Da Qing Ye,寒 Cold,"心经 Heart,胃经 Stomach",苦 Bitter,,,,,,,,,,,
,,灵芝,Ling Zhi,平 Neutral,"心经 Heart,肺经 Lung,肝经 Liver,肾经 Kidney",甘 Sweet,,,,,,,,,,,
,,龙胆,Long Dan,寒 Cold,"肝经 Liver,胆经 Gallbladder",苦 Bitter,,,,,,,,,,,
,,龙葵,Long Kui,寒 Cold,"肝经 Liver,肾经 Kidney,膀胱经 Bladder","苦 Bitter,甘 Sweet",,,,,,,,,,,
,,龙眼肉,Long Yan Rou,温 Warm,"心经 Heart,脾经 Spleen",甘 Sweet,,,,,,,,,,,
,,漏芦,Lou Lu,寒 Cold,胃经 Stomach,苦 Bitter,,,,,,,,,,,
,,芦根,Lu Gen,寒 Cold,"肺经 Lung,胃经 Stomach,膀胱经 Bladder",甘 Sweet,,,,,,,,,,,
,,芦荟,Lu Hui,寒 Cold,"肝经 Liver,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,鹿衔草,Lu Xian Cao,N/A,,N/A,,,,,,,,,,,
,,路路通,Lu Lu Tong,平 Neutral,"肝经 Liver,膀胱经 Bladder",苦 Bitter,,,,,,,,,,,
,,罗布麻叶,Luo Bu Ma Ye,凉 Cool,肝经 Liver,"甘 Sweet,苦 Bitter",,,,,,,,,,,
